Connecting to IMU server at 10.42.0.199:5000...
X:  0.002  Y:  0.015  Z:  0.957
X:  0.005  Y:  0.015  Z:  0.975
X:  0.002  Y:  0.014  Z:  0.953
X:  0.005  Y:  0.014  Z:  0.979
X:  0.005  Y:  0.014  Z:  0.972
X:  0.006  Y:  0.008  Z:  0.977
X:  0.007  Y:  0.017  Z:  0.968
X:  0.008  Y:  0.011  Z:  0.976
X:  0.006  Y:  0.010  Z:  0.970
X:  0.004  Y:  0.011  Z:  0.970
X:  0.002  Y:  0.017  Z:  0.983
X:  0.002  Y:  0.012  Z:  0.977
X:  0.004  Y:  0.016  Z:  0.981
X:  0.002  Y:  0.013  Z:  0.964
X:  0.001  Y:  0.014  Z:  0.973
X:  0.000  Y:  0.022  Z:  0.978
X:  0.006  Y:  0.007  Z:  0.978
X:  0.008  Y:  0.011  Z:  0.974
X: -0.000  Y:  0.016  Z:  0.972
X:  0.005  Y:  0.012  Z:  0.985
X:  0.004  Y:  0.012  Z:  0.973
X:  0.004  Y:  0.004  Z:  0.962
X:  0.006  Y:  0.015  Z:  0.969
X:  0.004  Y:  0.005  Z:  0.970
X:  0.007  Y:  0.010  Z:  0.975
X:  0.003  Y:  0.010  Z:  0.970
X:  0.005  Y:  0.014  Z:  0.974
X:  0.009  Y:  0.013  Z:  0.969
X:  0.002  Y:  0.011  Z:  0.981
X:  0.005  Y:  0.010  Z:  0.971
X:  0.004  Y:  0.014  Z:  0.975
X:  0.001  Y:  0.012  Z:  0.973
X:  0.002  Y:  0.007  Z:  0.983
X:  0.001  Y:  0.014  Z:  0.963
X:  0.004  Y:  0.016  Z:  0.978
X:  0.002  Y:  0.015  Z:  0.979
X:  0.005  Y:  0.013  Z:  0.973
X:  0.003  Y:  0.012  Z:  0.973
X:  0.001  Y:  0.017  Z:  0.975
X:  0.004  Y:  0.016  Z:  0.976
X:  0.004  Y:  0.019  Z:  0.971
X:  0.009  Y:  0.013  Z:  0.969
X:  0.002  Y:  0.009  Z:  0.967
X: -0.002  Y:  0.017  Z:  0.976
X:  0.004  Y:  0.012  Z:  0.973
X:  0.001  Y:  0.011  Z:  0.976
X:  0.004  Y:  0.013  Z:  0.975
X:  0.002  Y:  0.014  Z:  0.975
X:  0.000  Y:  0.008  Z:  0.973
X:  0.002  Y:  0.012  Z:  0.972
X:  0.002  Y:  0.010  Z:  0.972
X:  0.005  Y:  0.016  Z:  0.977
X:  0.006  Y:  0.015  Z:  0.979
X:  0.006  Y:  0.014  Z:  0.974
X:  0.006  Y:  0.014  Z:  0.979
X:  0.003  Y:  0.017  Z:  0.977
X:  0.000  Y:  0.017  Z:  0.972
X:  0.002  Y:  0.011  Z:  0.973
X:  0.003  Y:  0.011  Z:  0.973
X:  0.004  Y:  0.011  Z:  0.971
X:  0.001  Y:  0.009  Z:  0.980
X:  0.007  Y:  0.009  Z:  0.977
X:  0.009  Y:  0.015  Z:  0.971
X:  0.003  Y:  0.008  Z:  0.974
X:  0.008  Y:  0.014  Z:  0.977
X:  0.008  Y:  0.013  Z:  0.972
X:  0.007  Y:  0.010  Z:  0.975
X:  0.000  Y:  0.015  Z:  0.974
X:  0.004  Y:  0.012  Z:  0.973
X:  0.006  Y:  0.015  Z:  0.978
X: -0.000  Y:  0.014  Z:  0.978
X:  0.002  Y:  0.013  Z:  0.978
X:  0.002  Y:  0.016  Z:  0.975
X:  0.005  Y:  0.008  Z:  0.969
X:  0.002  Y:  0.013  Z:  0.972
X:  0.002  Y:  0.011  Z:  0.975
X:  0.005  Y:  0.014  Z:  0.976
X:  0.001  Y:  0.015  Z:  0.975
X: -0.032  Y:  0.004  Z:  0.921
X:  0.026  Y:  0.011  Z:  0.988
X: -0.014  Y:  0.021  Z:  0.973
X:  0.005  Y:  0.012  Z:  0.970
X:  0.002  Y:  0.012  Z:  0.970
X:  0.010  Y:  0.014  Z:  0.974
X:  0.008  Y:  0.010  Z:  0.973
X:  0.005  Y:  0.016  Z:  0.975
X:  0.004  Y:  0.013  Z:  0.978
X:  0.008  Y:  0.018  Z:  0.970
X:  0.005  Y:  0.011  Z:  0.972
X:  0.009  Y:  0.016  Z:  0.969
X:  0.006  Y:  0.019  Z:  0.979
X:  0.008  Y:  0.014  Z:  0.968
X:  0.009  Y:  0.016  Z:  0.980
X:  0.004  Y:  0.010  Z:  0.973
X:  0.010  Y:  0.016  Z:  0.968
X:  0.004  Y:  0.010  Z:  0.981
X:  0.006  Y:  0.014  Z:  0.978
X:  0.011  Y:  0.014  Z:  0.974
X:  0.011  Y:  0.013  Z:  0.980
X:  0.006  Y:  0.013  Z:  0.974
X:  0.006  Y:  0.018  Z:  0.974
X:  0.006  Y:  0.013  Z:  0.979
X:  0.012  Y:  0.012  Z:  0.968
X:  0.010  Y:  0.015  Z:  0.982
X:  0.006  Y:  0.013  Z:  0.978
X:  0.005  Y:  0.018  Z:  0.973
X:  0.005  Y:  0.011  Z:  0.980
X:  0.004  Y:  0.012  Z:  0.980
X:  0.009  Y:  0.012  Z:  0.970
X:  0.006  Y:  0.016  Z:  0.972
X:  0.007  Y:  0.014  Z:  0.971
X:  0.010  Y:  0.013  Z:  0.968
X:  0.011  Y:  0.013  Z:  0.973
X:  0.004  Y:  0.015  Z:  0.979
